ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal,lat,lng
131930,Janna Wendy Wyland (-VanDerWoude),F,19.0,159.0,50.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Women's Platform,Bronze,34.1141,-118.4068
131558,"Susan Jean ""Sue"" Woodstra",F,27.0,175.0,68.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Silver,34.1141,-118.4068
131514,"Cynthia Lee ""Sippy"" Woodhead (-Kantzer, -Brennan)",F,20.0,165.0,54.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Freestyle,Silver,34.1141,-118.4068
131501,Lynette Woodard,F,24.0,180.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold,34.1141,-118.4068
131486,"Osie Leon Wood, III",M,22.0,190.0,86.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold,34.1141,-118.4068
130811,"David Dennis ""Dave"" Wilson",M,23.0,190.0,85.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,34.1141,-118.4068
130811,"David Dennis ""Dave"" Wilson",M,23.0,190.0,85.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,Silver,34.1141,-118.4068
130808,Craig Martin Wilson,M,27.0,195.0,86.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Silver,34.1141,-118.4068
130471,Mac Maurice Wilkins,M,33.0,193.0,115.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,Silver,34.1141,-118.4068
129978,Amy Lee White (-Ballidis),F,15.0,172.0,57.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,Silver,34.1141,-118.4068
129967,Pernell Whitaker,M,20.0,165.0,60.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,Gold,34.1141,-118.4068
129791,Peter Jonathan Westbrook,M,32.0,175.0,73.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",Bronze,34.1141,-118.4068
34864,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",F,24.0,176.0,63.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Women's Doubles,Gold,33.7628,-84.422
36492,Julie Maurine Foudy,F,25.0,165.0,59.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold,33.7628,-84.422
36561,Catherine Mai-Lan Fox,F,18.0,162.0,54.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,33.7628,-84.422
36561,Catherine Mai-Lan Fox,F,18.0,162.0,54.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,33.7628,-84.422
80754,Dominique Helena Moceanu (-Canales),F,14.0,139.0,34.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,33.7628,-84.422
80399,Dennis Allen Mitchell,M,30.0,175.0,70.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,33.7628,-84.422
79973,Derek Bruce Mills,M,24.0,175.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,33.7628,-84.422
79937,"Shannon Lee Miller (-Phillips, -Falconetti)",F,19.0,147.0,39.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,Gold,33.7628,-84.422
